lat,long,elevation_m,distance_km
56.2337,-3.83659,261.5,13.534
56.23419,-3.83582,259.1,13.606
56.23451,-3.83539,257.7,13.651
56.23461,-3.83528,257.4,13.664
56.23485,-3.83503,256.9,13.695
56.23508,-3.83479,256.2,13.724
56.23511,-3.83475,256.1,13.728
56.2357,-3.83412,253.5,13.805
56.23626,-3.8335,251,13.878
56.23672,-3.83302,246.4,13.937
56.23706,-3.83271,242.5,13.979
56.23726,-3.83254,239.8,14.004
56.23774,-3.83215,233.1,14.063
56.23805,-3.83191,230,14.1
56.23823,-3.83177,228.3,14.122
56.23855,-3.83142,226.3,14.164
56.23889,-3.83105,224.8,14.208
56.23942,-3.83041,222.8,14.279
56.23955,-3.83026,222.4,14.296
56.23964,-3.83013,222.1,14.309
56.23974,-3.82991,221.9,14.327
56.240165,-3.829035,220.9,14.399
56.24059,-3.82816,219.7,14.47
56.24061,-3.82812,219.7,14.474
56.2408,-3.8277,218.9,14.507
56.241275,-3.82687,217.1,14.581
56.24175,-3.82604,215.2,14.655
56.242145,-3.82533,215.2,14.717
56.24254,-3.82462,216.1,14.779
56.24298,-3.82383,216.5,14.848
56.24342,-3.82304,218.2,14.917
56.24392,-3.82214,219.2,14.996
56.24411,-3.82192,219.4,15.021
56.24467,-3.82121,218.8,15.098
56.24508,-3.820725,216.7,15.152
56.24549,-3.82024,213.7,15.207
56.24574,-3.81988,211.7,15.242
56.24613,-3.819275,208.2,15.3
56.24652,-3.81867,203.6,15.357
56.24698,-3.8179,199.7,15.427
56.247385,-3.81713,197.2,15.493
56.24779,-3.81636,194.9,15.558
56.24812,-3.815735,192,15.611
56.24845,-3.81511,189.8,15.665
56.24878,-3.81443,188.1,15.721
56.249205,-3.81343,184.4,15.798
56.24963,-3.81243,180.7,15.876
56.25017,-3.81125,176.9,15.971
56.2502,-3.8112,176.7,15.975
56.25057,-3.81048,173.4,16.036
56.2509,-3.809835,170.8,16.09
56.25123,-3.80919,168.8,16.145
56.25141,-3.80887,167.7,16.173
56.25159,-3.80871,166.3,16.195
56.25202,-3.808175,163.2,16.253
56.25245,-3.80764,160.7,16.311
56.25266,-3.8074,159.5,16.339
56.25282,-3.80723,158.6,16.36
56.25297,-3.8071,157.9,16.378
56.25309,-3.807,157.2,16.393
56.25314,-3.80696,156.9,16.399
56.25321,-3.80685,156.4,16.41
56.25325,-3.80679,156.1,16.415
56.25329,-3.80671,155.8,16.422
56.25332,-3.80662,155.7,16.428
56.25334,-3.80655,155.5,16.433
56.25336,-3.80645,155.4,16.44
56.25336,-3.80637,155.4,16.445
56.25336,-3.8063,155.4,16.449
56.25336,-3.80623,155.4,16.454
56.25335,-3.80615,155.5,16.459
56.25333,-3.80596,155.6,16.471
56.25333,-3.80582,155.6,16.479
56.25333,-3.80574,155.6,16.484
56.25334,-3.80565,155.5,16.49
56.25336,-3.80559,155.4,16.494
56.25345,-3.80535,155,16.512
56.25366,-3.80499,154.5,16.544
56.25376,-3.80478,154.1,16.561
56.25385,-3.80458,153.7,16.577
56.25391,-3.80449,153.4,16.586
56.25397,-3.80443,153.1,16.594
56.25407,-3.80432,152.6,16.607
56.25423,-3.8042,151.9,16.626
56.25443,-3.80409,151.2,16.649
56.25464,-3.80397,150.4,16.674
56.25491,-3.80378,149.1,16.706
56.25513,-3.80362,147.8,16.733
56.25536,-3.80343,146.6,16.761
56.2555,-3.80329,145.9,16.779
56.2556,-3.80322,145.2,16.79
56.25566,-3.80321,144.9,16.797
56.25573,-3.80322,144.5,16.805
56.25582,-3.80325,144,16.815
56.25586,-3.80329,143.8,16.82
56.2559,-3.80338,143.6,16.827
56.25594,-3.80346,143.4,16.834
56.25595,-3.80354,143.3,16.839
56.25596,-3.80364,143.3,16.845
56.25597,-3.80372,143.2,16.85
56.25596,-3.80383,143.3,16.857
56.25595,-3.80405,143.3,16.871
56.25587,-3.80482,144,16.919
56.25587,-3.80492,144.1,16.926
56.25587,-3.80502,144.3,16.932
56.25588,-3.80509,144.3,16.936
56.25589,-3.80515,144.3,16.94
56.25593,-3.80523,144.2,16.947
56.25617,-3.80522,142.8,16.974
56.25633,-3.80525,142,16.991
56.25629,-3.80421,141.5,17.056
56.25623,-3.80262,141.8,17.154
56.256175,-3.80136,141.1,17.233
56.25612,-3.8001,141.3,17.311
56.25605,-3.79857,142.5,17.406
56.25598,-3.79704,142.9,17.501
56.255925,-3.79575,142.7,17.581
56.25587,-3.79446,142,17.661
56.25584,-3.79339,140,17.727
56.25585,-3.7925,138.7,17.782
56.25587,-3.79177,137.5,17.827
56.25588,-3.79129,137.3,17.857
56.25592,-3.7908,137.2,17.887
56.25595,-3.79032,137.3,17.917
56.25598,-3.79002,136.9,17.936
56.25603,-3.7896,136.2,17.963
56.25609,-3.78914,136,17.992
56.25615,-3.7887,135.7,18.02
56.25622,-3.78858,135.5,18.031
56.25625,-3.78851,135.4,18.036
56.2563,-3.7884,135.2,18.045
56.25635,-3.78834,135.1,18.052
